reaction,origin,rule
R01487,map_rn2ko_viaEC_1minus,frozenset({'K00055'})
R01488,map_rn2ko_viaEC_1minus,frozenset({'K05882'})
R01501,map_rn2ko_viaEC_1minus,frozenset({'K01229'})
R01504,map_rn2ko_viaEC_1minus,frozenset({'K02363'})
R01535,map_rn2ko_viaEC_1minus,frozenset({'K00996'})
R01556,map_rn2ko_viaEC_1minus,frozenset({'K00661'})
R01581,map_rn2ko_viaEC_1minus,frozenset({'K01461'})
R01585,map_rn2ko_viaEC_1minus,frozenset({'K01949'})
R01683,map_rn2ko_viaEC_1minus,frozenset({'K23235'})
R01686,map_rn2ko_viaEC_1minus,frozenset({'K00613'})
R01689,map_rn2ko_viaEC_1minus,frozenset({'K10797'})
R01697,map_rn2ko_viaEC_1minus,frozenset({'K08261'})
R01738,map_rn2ko_viaEC_1minus,frozenset({'K00046'})
R01740,map_rn2ko_viaEC_1minus,frozenset({'K00046'})
R01807,map_rn2ko_viaEC_1minus,frozenset({'K03377'})
R01808,map_rn2ko_viaEC_1minus,frozenset({'K03377'})
R01853,map_rn2ko_viaEC_1minus,frozenset({'K00276'})
R01886,map_rn2ko_viaEC_1minus,frozenset({'K01245'})
R01963,map_rn2ko_viaEC_1minus,frozenset({'K01565'})
R01964,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R01965,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R01972,map_rn2ko_viaEC_1minus,frozenset({'K22590'})
R01973,map_rn2ko_viaEC_1minus,frozenset({'K22590'})
R02010,map_rn2ko_viaEC_1minus,frozenset({'K21930'})
R02041,map_rn2ko_viaEC_1minus,frozenset({'K13720'})
R02084,map_rn2ko_viaEC_1minus,frozenset({'K18703'})
R02113,map_rn2ko_viaEC_1minus,frozenset({'K05841'})
R02130,map_rn2ko_viaEC_1minus,frozenset({'K00513'})
R02131,map_rn2ko_viaEC_1minus,frozenset({'K00512'})
R02171,map_rn2ko_viaEC_1minus,frozenset({'K06966'})
R02172,map_rn2ko_viaEC_1minus,frozenset({'K10213'})
R02182,map_rn2ko_viaEC_1minus,frozenset({'K20817'})
R02183,map_rn2ko_viaEC_1minus,frozenset({'K00710'})
R02184,map_rn2ko_viaEC_1minus,frozenset({'K00937'})
R02185,map_rn2ko_viaEC_1minus,frozenset({'K00886'})
R02190,map_rn2ko_viaEC_1minus,frozenset({'K01459'})
R02191,map_rn2ko_viaEC_1minus,frozenset({'K18852'})
R02226,map_rn2ko_viaEC_1minus,frozenset({'K00984'})
R02227,map_rn2ko_viaEC_1minus,frozenset({'K10673'})
R02258,map_rn2ko_viaEC_1minus,frozenset({'K00048'})
R02336,map_rn2ko_viaEC_1minus,frozenset({'K01561'})
R02337,map_rn2ko_viaEC_1minus,frozenset({'K01563'})
R02341,map_rn2ko_viaEC_1minus,frozenset({'K01239'})
R02365,map_rn2ko_viaEC_1minus,frozenset({'K19069'})
R02385,map_rn2ko_viaEC_1minus,frozenset({'K22246'})
R02387,map_rn2ko_viaEC_1minus,frozenset({'K00622'})
R02395,map_rn2ko_viaEC_1minus,frozenset({'K17735'})
R02432,map_rn2ko_viaEC_1minus,frozenset({'K17881'})
R02443,map_rn2ko_viaEC_1minus,frozenset({'K13083'})
R02447,map_rn2ko_viaEC_1minus,frozenset({'K21386'})
R02453,map_rn2ko_viaEC_1minus,frozenset({'K23277'})
R02465,map_rn2ko_viaEC_1minus,frozenset({'K01727'})
R02513,map_rn2ko_viaEC_1minus,frozenset({'K01482'})
R02515,map_rn2ko_viaEC_1minus,frozenset({'K10438'})
R02553,map_rn2ko_viaEC_1minus,frozenset({'K17754'})
R02554,map_rn2ko_viaEC_1minus,frozenset({'K23517'})
R02572,map_rn2ko_viaEC_1minus,frozenset({'K00562'})
