rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R01266,https://www.genome.jp/entry/R01266,3.2.2.11,,1,0,,
R01270,https://www.genome.jp/entry/R01270,3.2.2.14,,1,0,,
R01277,https://www.genome.jp/entry/R01277,1.2.1.42,,1,0,,
R01292,https://www.genome.jp/entry/R01292,1.8.4.1,,1,0,,
R01296,https://www.genome.jp/entry/R01296,1.14.13.33,,1,0,,
R01297,https://www.genome.jp/entry/R01297,1.14.13.64,,1,0,,
R01299,https://www.genome.jp/entry/R01299,1.14.13.64,,1,0,,
R01304,https://www.genome.jp/entry/R01304,2.4.1.194,,1,0,,
R01307,https://www.genome.jp/entry/R01307,3.8.1.6,,1,0,,
R01319,https://www.genome.jp/entry/R01319,2.3.1.62,,1,0,,
R01323,https://www.genome.jp/entry/R01323,2.8.3.10,K01643,1,1,,
R01327,https://www.genome.jp/entry/R01327,2.7.1.1,K00844,1,1,,
R01328,https://www.genome.jp/entry/R01328,3.1.4.49,,1,0,,
R01330,https://www.genome.jp/entry/R01330,2.7.1.1,K00844,1,1,,
R01331,https://www.genome.jp/entry/R01331,3.2.1.137;3.2.1.77,,2,0,,
R01336,https://www.genome.jp/entry/R01336,4.2.99.12,,1,0,,
R01337,https://www.genome.jp/entry/R01337,1.2.1.23,,1,0,,
R01338,https://www.genome.jp/entry/R01338,1.2.1.49,,1,0,,
R01340,https://www.genome.jp/entry/R01340,1.4.3.3,K00273,1,1,,
R01342,https://www.genome.jp/entry/R01342,1.4.99.6,K19746,1,1,,
R01343,https://www.genome.jp/entry/R01343,2.6.1.13,K00819,1,1,,
R01344,https://www.genome.jp/entry/R01344,2.6.1.21,K00824,1,1,,
R01349,https://www.genome.jp/entry/R01349,2.1.1.15,K22545,1,1,,
R01358,https://www.genome.jp/entry/R01358,3.1.2.11,,1,0,,
R01367,https://www.genome.jp/entry/R01367,4.2.1.27,,1,0,,
R01375,https://www.genome.jp/entry/R01375,2.6.1.64,K00816,1,1,,
R01376,https://www.genome.jp/entry/R01376,2.6.1.28,K05821,1,1,,
R01393,https://www.genome.jp/entry/R01393,4.1.1.40,,1,0,,
R01396,https://www.genome.jp/entry/R01396,2.1.3.8,,1,0,,
R01399,https://www.genome.jp/entry/R01399,2.1.3.6,K13252,1,1,,
R01407,https://www.genome.jp/entry/R01407,6.2.1.19,K06046,1,1,,
R01413,https://www.genome.jp/entry/R01413,1.17.99.4,,1,0,,
